trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-100.05389420965616,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,10,-32.875002933179644,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,10,-81.6335857482987,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,13.420411737243642,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,19,11.375661843152319,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-91.18926440614155,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",30,9,-54.55481736173322,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,0,-52.33446640606212,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",30,22,6.103703896597986,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,14,-21.19696968415973,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,6,-3.7807755777545236,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-28.52227888440477,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,3,-28.19162872410086,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,0,-75.29827546891772,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,6,-7.37325390442015,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-100.23680340854392,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,12,-3.269644970697895,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
